Site,Herbivory,Light,Species,BI,BI_cat,RBDI
1,control,dark,Acer,32,Medium,0.121212121
1,control,light,Acer,35.51,Medium,0.203703704
1,control,light,Acer,16.67,Low,0.194444444
1,control,light,Acer,40.87,High,0.227272727
1,control,light,Acer,29.33,Medium,0.070175439
2,control,dark,Acer,20.67,Low,0.170731707
2,control,dark,Acer,34.67,Medium,0.057971014
2,control,dark,Acer,21.67,Low,0.233333333
2,control,dark,Acer,26.67,Medium,0.0625
2,control,dark,Acer,12,Low,0.012820513
2,control,dark,Acer,20.67,Low,0.380952381
2,control,light,Acer,62.73,High,0.219512195
2,control,light,Acer,22,Low,0.031914894
2,control,light,Acer,36,Medium,0.239130435
2,control,light,Acer,44.17,High,0.285714286
3,control,dark,Acer,4,Low,0.095238095
3,control,dark,Acer,37.62,Medium,0.0875
3,control,light,Acer,34.05,Medium,0.083333333
3,control,light,Acer,45.83,High,0.128205128
3,control,light,Acer,26.5,Medium,0.227848101
3,control,light,Acer,24.86,Low,0.157894737
3,control,light,Acer,49.96,High,0.156862745
4,control,dark,Acer,30,Medium,0.140625
4,control,dark,Acer,39.09,Medium,0.324324324
4,control,dark,Acer,39,Medium,0.138613861
4,control,dark,Acer,36,Medium,0.139534884
4,control,dark,Acer,41.33,High,0.133333333
4,control,light,Acer,30.3,Medium,0.279069767
4,control,light,Acer,37.5,Medium,0.333333333
4,control,light,Acer,38.21,Medium,0.207792208
4,control,light,Acer,19.64,Low,0.181818182
5,control,dark,Acer,31.87,Medium,0.25862069
5,control,dark,Acer,31.19,Medium,0.208333333
5,control,dark,Acer,54.89,High,0.067073171
5,control,dark,Acer,15.11,Low,0.25974026
5,control,dark,Acer,46.43,High,0.1
5,control,light,Acer,41.67,High,0.153846154
5,control,light,Acer,22.27,Low,0.160714286
5,control,light,Acer,52.71,High,0.210526316
5,control,light,Acer,30.22,Medium,0.083333333
5,control,light,Acer,31.82,Medium,0.189473684
5,control,light,Acer,40,Medium,0.016129032
6,control,dark,Acer,23.71,Low,0.136752137
6,control,dark,Acer,34.67,Medium,0.133333333
6,control,dark,Acer,24.55,Low,0.166666667
6,control,dark,Acer,45,High,0.060606061
6,control,dark,Acer,37.86,Medium,0.163636364
6,control,dark,Acer,26.67,Medium,0.037735849
6,control,light,Acer,40.5,High,0.35483871
6,control,light,Acer,16.9,Low,0.179487179
6,control,light,Acer,29.9,Medium,0.225352113
6,control,light,Acer,52.02,High,0.256410256
6,control,light,Acer,31.59,Medium,0.153846154
6,control,light,Acer,62.94,High,0.172413793
1,control,light,Carpinus,21.39,Medium,0.183673469
1,control,light,Carpinus,41.09,High,0.176767677
1,control,light,Carpinus,50,High,0.180555556
1,control,light,Carpinus,26.55,Medium,0.206896552
1,control,light,Carpinus,38.62,High,0.081632653
1,control,light,Carpinus,28.47,High,0.122340426
2,control,dark,Carpinus,8.93,Low,0.12295082
2,control,dark,Carpinus,13.89,Medium,0.175438596
2,control,dark,Carpinus,25,Medium,0.040322581
2,control,dark,Carpinus,24.44,Medium,0.133333333
2,control,light,Carpinus,19.37,Medium,0.952380952
2,control,light,Carpinus,11.43,Low,0.467741935
2,control,light,Carpinus,16.77,Medium,0.653846154
2,control,light,Carpinus,22.86,Medium,0.702702703
