Site,Herbivory,Light,Species,BDI_2008,RBDI
1,control,dark,Acer,0.026315789,NA
1,control,dark,Acer,0.025641026,NA
1,control,dark,Acer,0.02247191,0.121212121
1,control,dark,Acer,0.020618557,NA
1,control,dark,Acer,0.032258065,NA
1,control,dark,Acer,0.078431373,NA
1,control,light,Acer,0.277777778,0.203703704
1,control,light,Acer,0.020618557,0.194444444
1,control,light,Acer,0.028169014,NA
1,control,light,Acer,0.015503876,0.227272727
1,control,light,Acer,0.021978022,0.070175439
1,control,light,Acer,0.027777778,NA
1,exclosure,dark,Acer,0.022727273,NA
1,exclosure,dark,Acer,0.018018018,NA
1,exclosure,dark,Acer,0.02020202,0.166666667
1,exclosure,dark,Acer,0.025641026,0.191489362
1,exclosure,dark,Acer,0.033333333,0.120689655
1,exclosure,dark,Acer,0.029411765,NA
1,exclosure,light,Acer,0.019607843,0.02739726
1,exclosure,light,Acer,0.035087719,0.053571429
1,exclosure,light,Acer,0.021978022,0.038095238
1,exclosure,light,Acer,0.039215686,0.036036036
1,exclosure,light,Acer,0.021276596,0.037735849
1,exclosure,light,Acer,0.023255814,0.042253521
1,control,dark,Carpinus,0.024096386,NA
1,control,dark,Carpinus,0.081632653,NA
1,control,dark,Carpinus,0.066666667,NA
1,control,dark,Carpinus,0.325581395,NA
1,control,dark,Carpinus,0.066666667,NA
1,control,dark,Carpinus,0.095238095,NA
1,control,light,Carpinus,0.054054054,0.183673469
1,control,light,Carpinus,0.166666667,0.176767677
1,control,light,Carpinus,0.113207547,0.180555556
1,control,light,Carpinus,0.076923077,0.206896552
1,control,light,Carpinus,0.114285714,0.081632653
1,control,light,Carpinus,0.105263158,0.122340426
1,exclosure,dark,Carpinus,0.203389831,NA
1,exclosure,dark,Carpinus,0.137931034,NA
1,exclosure,dark,Carpinus,0.085106383,NA
1,exclosure,dark,Carpinus,0.181818182,NA
1,exclosure,dark,Carpinus,0.054054054,NA
1,exclosure,dark,Carpinus,0.5,NA
1,exclosure,light,Carpinus,0.090909091,0.152173913
1,exclosure,light,Carpinus,0.085106383,0.082089552
1,exclosure,light,Carpinus,0.217391304,0.046
1,exclosure,light,Carpinus,0.051282051,0.169642857
1,exclosure,light,Carpinus,0.08,0.08411215
1,exclosure,light,Carpinus,0.044444444,0.27826087
1,control,dark,Picea,0.470588235,NA
1,control,dark,Picea,1.232876712,NA
1,control,dark,Picea,1.014925373,NA
1,control,dark,Picea,0.785714286,NA
1,control,dark,Picea,1.772151899,NA
1,control,dark,Picea,2.425531915,NA
1,control,light,Picea,1.309090909,0.027777778
1,control,light,Picea,0.568627451,0.031484258
1,control,light,Picea,1.333333333,0.036706349
1,control,light,Picea,0.626865672,0.062271062
1,control,light,Picea,1.46031746,0.045068929
1,control,light,Picea,0.90625,0.051034483
1,exclosure,dark,Picea,1.263157895,NA
1,exclosure,dark,Picea,1.139240506,NA
1,exclosure,dark,Picea,1.463414634,NA
1,exclosure,dark,Picea,1.577464789,NA
1,exclosure,dark,Picea,1.074074074,NA
1,exclosure,dark,Picea,1.104166667,NA
1,exclosure,light,Picea,0.829268293,0.146405229
1,exclosure,light,Picea,0.939393939,0.046432063
1,exclosure,light,Picea,1.452054795,0.033903302
1,exclosure,light,Picea,1.137254902,0.043465662
1,exclosure,light,Picea,1.15625,0.077027027
1,exclosure,light,Picea,1.489361702,0.05974026
1,control,dark,Quercus,0.018181818,NA
1,control,dark,Quercus,0.079365079,NA
1,control,dark,Quercus,0.014388489,NA
1,control,dark,Quercus,0.074766355,NA
1,control,dark,Quercus,0.140350877,NA
1,control,dark,Quercus,0.072727273,NA
1,control,light,Quercus,0.055045872,0.11627907
1,control,light,Quercus,0.073529412,0.085714286
1,control,light,Quercus,0.137254902,0.032345013
1,control,light,Quercus,0.022727273,0.117647059
1,control,light,Quercus,0.109589041,0.079268293
1,control,light,Quercus,0.06557377,0.046728972
1,exclosure,dark,Quercus,0.052631579,0.038251366
1,exclosure,dark,Quercus,0.041666667,NA
1,exclosure,dark,Quercus,0.041666667,NA
1,exclosure,dark,Quercus,0.156862745,NA
1,exclosure,dark,Quercus,0.065217391,NA
1,exclosure,dark,Quercus,0.015384615,NA
1,exclosure,light,Quercus,0.063829787,0.037037037
1,exclosure,light,Quercus,0.079365079,0.025
1,exclosure,light,Quercus,0.174757282,0.02745098
1,exclosure,light,Quercus,0.070921986,0.029213483
1,exclosure,light,Quercus,0.0625,0.054421769
1,exclosure,light,Quercus,0.077669903,0.042134831
1,control,dark,Tilia,0.029411765,0.206896552
1,control,dark,Tilia,0.038461538,0.315789474
1,control,dark,Tilia,0.054054054,0.125
1,control,dark,Tilia,0.032786885,0.214285714
1,control,dark,Tilia,0.038461538,NA
1,control,dark,Tilia,0.04,0.236842105
1,control,light,Tilia,0.02739726,0.176470588
1,control,light,Tilia,0.057142857,0.072463768
1,control,light,Tilia,0.021276596,0.222222222
1,control,light,Tilia,0.117647059,0.049382716
1,control,light,Tilia,0.032786885,0.307692308
1,control,light,Tilia,0.044444444,0.291666667
1,exclosure,dark,Tilia,0.023529412,NA
1,exclosure,dark,Tilia,0.023255814,0.170731707
1,exclosure,dark,Tilia,0.032786885,0.35
1,exclosure,dark,Tilia,0.042105263,NA
1,exclosure,dark,Tilia,0.014184397,0.202898551
1,exclosure,dark,Tilia,0.027027027,0.128205128
1,exclosure,light,Tilia,0.047058824,0.119047619
1,exclosure,light,Tilia,0.036036036,0.04375
1,exclosure,light,Tilia,0.072289157,0.026666667
1,exclosure,light,Tilia,0.035714286,0.14084507
1,exclosure,light,Tilia,0.066666667,0.052325581
1,exclosure,light,Tilia,0.070175439,0.047945205
2,control,dark,Acer,0.02173913,0.057971014
2,control,dark,Acer,0.03030303,0.233333333
2,control,dark,Acer,0.022727273,0.170731707
2,control,dark,Acer,0.076923077,0.012820513
2,control,dark,Acer,0.03125,0.0625
2,control,dark,Acer,0.041666667,0.380952381
2,control,light,Acer,0.02,0.219512195
2,control,light,Acer,0.018348624,0.195121951
2,control,light,Acer,0.02739726,NA
2,control,light,Acer,0.078431373,0.031914894
2,control,light,Acer,0.018348624,0.239130435
2,control,light,Acer,0.025974026,0.285714286
2,exclosure,dark,Acer,0.024691358,0.244897959
2,exclosure,dark,Acer,0.033333333,0.020408163
