Site,Herbivory,Light,Species,Survived_2018,RBDI
1,control,dark,Acer,0,NA
1,control,dark,Acer,0,NA
1,control,dark,Acer,0,0.121212121
1,control,dark,Acer,0,NA
1,control,dark,Acer,0,NA
1,control,dark,Acer,0,NA
1,control,light,Acer,0,0.203703704
1,control,light,Acer,0,0.194444444
1,control,light,Acer,0,NA
1,control,light,Acer,0,0.227272727
1,control,light,Acer,0,0.070175439
1,control,light,Acer,0,NA
1,exclosure,dark,Acer,0,NA
1,exclosure,dark,Acer,0,NA
1,exclosure,dark,Acer,0,0.166666667
1,exclosure,dark,Acer,1,0.191489362
1,exclosure,dark,Acer,0,0.120689655
1,exclosure,dark,Acer,0,NA
1,exclosure,light,Acer,1,0.02739726
1,exclosure,light,Acer,1,0.053571429
1,exclosure,light,Acer,1,0.038095238
1,exclosure,light,Acer,1,0.036036036
1,exclosure,light,Acer,1,0.037735849
1,exclosure,light,Acer,1,0.042253521
1,control,dark,Carpinus,0,NA
1,control,dark,Carpinus,0,NA
1,control,dark,Carpinus,0,NA
1,control,dark,Carpinus,0,NA
1,control,dark,Carpinus,0,NA
1,control,dark,Carpinus,0,NA
1,control,light,Carpinus,0,0.183673469
1,control,light,Carpinus,1,0.176767677
1,control,light,Carpinus,1,0.180555556
1,control,light,Carpinus,0,0.206896552
1,control,light,Carpinus,1,0.081632653
1,control,light,Carpinus,0,0.122340426
1,exclosure,dark,Carpinus,0,NA
1,exclosure,dark,Carpinus,0,NA
1,exclosure,dark,Carpinus,0,NA
1,exclosure,dark,Carpinus,0,NA
1,exclosure,dark,Carpinus,0,NA
1,exclosure,dark,Carpinus,0,NA
1,exclosure,light,Carpinus,1,0.152173913
1,exclosure,light,Carpinus,1,0.082089552
1,exclosure,light,Carpinus,1,46
1,exclosure,light,Carpinus,1,0.169642857
1,exclosure,light,Carpinus,1,0.08411215
1,exclosure,light,Carpinus,1,0.27826087
1,control,dark,Picea,0,NA
1,control,dark,Picea,0,NA
1,control,dark,Picea,0,NA
1,control,dark,Picea,0,NA
1,control,dark,Picea,0,NA
1,control,dark,Picea,0,NA
1,control,light,Picea,0,0.027777778
1,control,light,Picea,0,0.031484258
1,control,light,Picea,1,0.036706349
1,control,light,Picea,0,0.062271062
1,control,light,Picea,0,0.045068929
1,control,light,Picea,0,0.051034483
1,exclosure,dark,Picea,0,NA
1,exclosure,dark,Picea,0,NA
1,exclosure,dark,Picea,0,NA
1,exclosure,dark,Picea,0,NA
1,exclosure,dark,Picea,0,NA
1,exclosure,dark,Picea,0,NA
1,exclosure,light,Picea,1,0.146405229
1,exclosure,light,Picea,1,0.046432063
1,exclosure,light,Picea,0,0.033903302
1,exclosure,light,Picea,1,0.043465662
1,exclosure,light,Picea,0,0.077027027
1,exclosure,light,Picea,1,0.05974026
1,control,dark,Quercus,0,NA
1,control,dark,Quercus,0,NA
1,control,dark,Quercus,0,NA
1,control,dark,Quercus,0,NA
